Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09003_001,SE_A05001_001,SE_A05001_002,SE_A05001_003,SE_A05001_004,SE_A05001_005,SE_A05001_006,SE_A05001_007
"12071","Lee County, Florida","ACSSF","fl","050","00","0000047",,,,,"12","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12071","Lee County",,,,28,752251,624768,432307,192461,127483,16611,110872
"12073","Leon County, Florida","ACSSF","fl","050","00","0000048",,,,,"12","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12073","Leon County",,,,20,290965,201035,137853,63182,89930,6826,83104
"12075","Levy County, Florida","ACSSF","fl","050","00","0000049",,,,,"12","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12075","Levy County",,,,29,42392,29284,20681,8603,13108,1067,12041
"12077","Liberty County, Florida","ACSSF","fl","050","00","0000050",,,,,"12","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12077","Liberty County",,,,32,7987,5395,4012,1383,2592,219,2373
"12079","Madison County, Florida","ACSSF","fl","050","00","0000051",,,,,"12","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12079","Madison County",,,,30,18051,14056,12206,1850,3995,550,3445
"12081","Manatee County, Florida","ACSSF","fl","050","00","0000052",,,,,"12","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12081","Manatee County",,,,26,394824,317245,211533,105712,77579,8842,68737
"12083","Marion County, Florida","ACSSF","fl","050","00","0000053",,,,,"12","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12083","Marion County",,,,26,370372,276595,203118,73477,93777,10213,83564
"12085","Martin County, Florida","ACSSF","fl","050","00","0000054",,,,,"12","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12085","Martin County",,,,26,158323,127549,77687,49862,30774,2346,28428
"12086","Miami-Dade County, Florida","ACSSF","fl","050","00","0000055",,,,,"12","086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County",,,,32,2690113,2366707,2001987,364720,323406,20980,302426
"12087","Monroe County, Florida","ACSSF","fl","050","00","0000056",,,,,"12","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12087","Monroe County",,,,19,82244,63088,40798,22290,19156,1468,17688
"12089","Nassau County, Florida","ACSSF","fl","050","00","0000057",,,,,"12","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12089","Nassau County",,,,30,88492,69662,50981,18681,18830,2568,16262
"12091","Okaloosa County, Florida","ACSSF","fl","050","00","0000058",,,,,"12","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County",,,,25,209230,159027,100481,58546,50203,6540,43663
"12093","Okeechobee County, Florida","ACSSF","fl","050","00","0000059",,,,,"12","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12093","Okeechobee County",,,,27,39716,30597,23464,7133,9119,1010,8109
"12095","Orange County, Florida","ACSSF","fl","050","00","0000060",,,,,"12","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12095","Orange County",,,,29,1409949,1124107,834474,289633,285842,23292,262550
"12097","Osceola County, Florida","ACSSF","fl","050","00","0000061",,,,,"12","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12097","Osceola County",,,,35,380331,298728,229890,68838,81603,5593,76010
"12099","Palm Beach County, Florida","ACSSF","fl","050","00","0000062",,,,,"12","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County",,,,26,1481233,1231557,894744,336813,249676,18424,231252
"12101","Pasco County, Florida","ACSSF","fl","050","00","0000063",,,,,"12","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12101","Pasco County",,,,32,551598,449344,299144,150200,102254,12530,89724
"12103","Pinellas County, Florida","ACSSF","fl","050","00","0000064",,,,,"12","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County",,,,24,957989,775336,503063,272273,182653,24166,158487
"12105","Polk County, Florida","ACSSF","fl","050","00","0000065",,,,,"12","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12105","Polk County",,,,29,713148,536795,404766,132029,176353,15421,160932
"12107","Putnam County, Florida","ACSSF","fl","050","00","0000066",,,,,"12","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12107","Putnam County",,,,32,73147,59115,44372,14743,14032,1800,12232
"12109","St. Johns County, Florida","ACSSF","fl","050","00","0000067",,,,,"12","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County",,,,27,265724,203722,130765,72957,62002,8118,53884
"12111","St. Lucie County, Florida","ACSSF","fl","050","00","0000068",,,,,"12","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County",,,,28,324599,273023,205875,67148,51576,6063,45513
"12113","Santa Rosa County, Florida","ACSSF","fl","050","00","0000069",,,,,"12","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County",,,,31,184345,134607,82530,52077,49738,6275,43463
"12115","Sarasota County, Florida","ACSSF","fl","050","00","0000070",,,,,"12","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County",,,,24,429336,348503,233770,114733,80833,7809,73024
"12117","Seminole County, Florida","ACSSF","fl","050","00","0000071",,,,,"12","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12117","Seminole County",,,,27,467382,384031,253732,130299,83351,9782,73569
"12119","Sumter County, Florida","ACSSF","fl","050","00","0000072",,,,,"12","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12119","Sumter County",,,,27,127335,101858,69614,32244,25477,2303,23174
"12121","Suwannee County, Florida","ACSSF","fl","050","00","0000073",,,,,"12","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12121","Suwannee County",,,,28,43514,27635,21029,6606,15879,1484,14395
"12123","Taylor County, Florida","ACSSF","fl","050","00","0000074",,,,,"12","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12123","Taylor County",,,,24,21762,16924,13735,3189,4838,763,4075
"12125","Union County, Florida","ACSSF","fl","050","00","0000075",,,,,"12","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12125","Union County",,,,31,16141,9222,6409,2813,6919,347,6572
"12127","Volusia County, Florida","ACSSF","fl","050","00","0000076",,,,,"12","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12127","Volusia County",,,,26,548783,412019,294360,117659,136764,12820,123944
"12129","Wakulla County, Florida","ACSSF","fl","050","00","0000077",,,,,"12","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12129","Wakulla County",,,,31,33144,22199,15740,6459,10945,1575,9370
"12131","Walton County, Florida","ACSSF","fl","050","00","0000078",,,,,"12","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12131","Walton County",,,,28,73456,53668,33430,20238,19788,2074,17714
"12133","Washington County, Florida","ACSSF","fl","050","00","0000079",,,,,"12","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12133","Washington County",,,,31,24906,18365,14569,3796,6541,622,5919
